1;EUR;TAKE_MONEY;100.0;2025-03-25T18:40:25.301423100;1;0;1
1;CZK;DEPOSIT_MONEY;100.0;2025-03-25T18:40:58.227074;1;0;2
1;EUR;TRANSFER_MONEY_OUT;100.0;2025-03-25T18:43:37.732259;1;1;3
1;CZK;TRANSFER_MONEY_OUT;100.0;2025-03-25T18:45:20.994782700;6;1;4
6;JPY;TRANSFER_MONEY_IN;64.96500617538082;2025-03-25T18:45:20.994782700;6;1;5
1;PLN;DEPOSIT_MONEY;100.99;2025-03-25T19:37:11.029581200;1;0;6
1;EUR;TRANSFER_MONEY_OUT;100.0;2025-03-26T18:19:26.942565100;7;1;7
7;CZK;TRANSFER_MONEY_IN;2429.0;2025-03-26T18:19:26.942565100;7;1;8
1;PLN;TRANSFER_MONEY_OUT;0.99;2025-03-26T18:20:00.231993200;7;1;9
7;USD;TRANSFER_MONEY_IN;0.24348027842227382;2025-03-26T18:20:00.231993200;7;1;10
1;CZK;TRANSFER_MONEY_OUT;145.0;2025-03-26T18:20:26.302557500;7;1;11
7;PLN;TRANSFER_MONEY_IN;25.72869493618773;2025-03-26T18:20:26.302557500;7;1;12
